Afghanistan;"<img src=""reg-1.png"" />"
Albania;"<img src=""reg-2.png"" />"
Algeria;"<img src=""reg-3.png"" />"
Åland Islands;"<img src=""reg-4.png"" />"
American Samoa;"<img src=""reg-5.png"" />"
Andorra;"<img src=""reg-6.png"" />"
Angola;"<img src=""reg-3.png"" />"
Anguilla;"<img src=""reg-7.png"" />"
Antigua and Barbuda;"<img src=""reg-7.png"" />"
Argentina;"<img src=""reg-8.png"" />"
Armenia;"<img src=""reg-2.png"" />"
Aruba;"<img src=""reg-7.png"" />"
Australia;"<img src=""reg-5.png"" />"
Austria;"<img src=""reg-2.png"" />"
Azerbaijan;"<img src=""reg-2.png"" />"
Bahamas, The;"<img src=""reg-9.png"" />"
Bahrain;"<img src=""reg-1.png"" />"
Bangladesh;"<img src=""reg-10.png"" />"
Barbados;"<img src=""reg-9.png"" />"
Belarus;"<img src=""reg-2.png"" />"
Belgium;"<img src=""reg-2.png"" />"
Belize;"<img src=""reg-9.png"" />"
Benin;"<img src=""reg-3.png"" />"
Bermuda;"<img src=""reg-7.png"" />"
Bhutan;"<img src=""reg-10.png"" />"
Bolivia;"<img src=""reg-8.png"" />"
Bosnia and Herzegovina;"<img src=""reg-2.png"" />"
Botswana;"<img src=""reg-3.png"" />"
Brazil;"<img src=""reg-8.png"" />"
British Indian Ocean Territory;"<img src=""reg-11.png"" />"
Brunei;"<img src=""reg-10.png"" />"
Bulgaria;"<img src=""reg-2.png"" />"
Burkina Faso;"<img src=""reg-3.png"" />"
Burundi;"<img src=""reg-3.png"" />"
Cambodia;"<img src=""reg-10.png"" />"
Cameroon;"<img src=""reg-3.png"" />"
Canada;"<img src=""reg-12.png"" />"
Canary Islands;"<img src=""reg-3.png"" />"
Cape Verde;"<img src=""reg-3.png"" />"
Cayman Islands;"<img src=""reg-9.png"" />"
Central African Republic;"<img src=""reg-3.png"" />"
Chad;"<img src=""reg-3.png"" />"
Chile;"<img src=""reg-8.png"" />"
China;"<img src=""reg-10.png"" />"
Christmas Island;"<img src=""reg-10.png"" />"
Cocos (Keeling) Islands;"<img src=""reg-10.png"" />"
Colombia;"<img src=""reg-8.png"" />"
Comoros;"<img src=""reg-3.png"" />"
Congo, Republic Of The;"<img src=""reg-3.png"" />"
Congo, Democratic Republic Of The;"<img src=""reg-3.png"" />"
Cook Islands;"<img src=""reg-13.png"" />"
Costa Rica;"<img src=""reg-9.png"" />"
Ivory Coast;"<img src=""reg-3.png"" />"
Croatia;"<img src=""reg-2.png"" />"
Cuba;"<img src=""reg-9.png"" />"
Curaçao;"<img src=""reg-9.png"" />"
Cyprus;"<img src=""reg-2.png"" />"
Czech Republic;"<img src=""reg-2.png"" />"
Denmark;"<img src=""reg-2.png"" />"
Djibouti;"<img src=""reg-3.png"" />"
Dominica;"<img src=""reg-9.png"" />"
Dominican Republic;"<img src=""reg-9.png"" />"
Ecuador;"<img src=""reg-8.png"" />"
Egypt;"<img src=""reg-3.png"" />"
El Salvador;"<img src=""reg-9.png"" />"
England;"<img src=""reg-2.png"" />"
Equatorial Guinea;"<img src=""reg-3.png"" />"
Eritrea;"<img src=""reg-3.png"" />"
Estonia;"<img src=""reg-2.png"" />"
Ethiopia;"<img src=""reg-3.png"" />"
Falkland Islands;"<img src=""reg-8.png"" />"
Faroe Islands;"<img src=""reg-2.png"" />"
Fiji;"<img src=""reg-5.png"" />"
Finland;"<img src=""reg-2.png"" />"
France;"<img src=""reg-2.png"" />"
French Guiana;"<img src=""reg-8.png"" />"
French Polynesia;"<img src=""reg-13.png"" />"
French Southern Territories;"<img src=""reg-14.png"" />"
Gabon;"<img src=""reg-3.png"" />"
Gambia, The;"<img src=""reg-3.png"" />"
Georgia;"<img src=""reg-2.png"" />"
Germany;"<img src=""reg-2.png"" />"
Ghana;"<img src=""reg-3.png"" />"
Gibraltar;"<img src=""reg-15.png"" />"
Greece;"<img src=""reg-2.png"" />"
Greenland;"<img src=""reg-16.png"" />"
Grenada;"<img src=""reg-9.png"" />"
Guam;"<img src=""reg-10.png"" />"
Guatemala;"<img src=""reg-9.png"" />"
Guernsey;"<img src=""reg-2.png"" />"
Guinea;"<img src=""reg-3.png"" />"
Guinea-Bissau;"<img src=""reg-3.png"" />"
Guyana;"<img src=""reg-8.png"" />"
Haiti;"<img src=""reg-9.png"" />"
Honduras;"<img src=""reg-9.png"" />"
Hong Kong;"<img src=""reg-17.png"" />"
Hungary;"<img src=""reg-2.png"" />"
Iceland;"<img src=""reg-2.png"" />"
India;"<img src=""reg-10.png"" />"
Indonesia;"<img src=""reg-10.png"" />"
Iran;"<img src=""reg-1.png"" />"
Iraq;"<img src=""reg-1.png"" />"
Ireland;"<img src=""reg-2.png"" />"
